name,text_ingradiant,food_method
?????????????????????,"- ??????? 4 ???
- ??????? 5 ????
- ???????????????? 2 ????
- ???????? 5 ???
- ?????? 2 ????????
- ????????? 1 ????????",????????????????????????????????????????????????? ??????????????????????????? ???????????????????????????????? ??????????? ???????? ???????? ??????????????????????????????????????? ??????????????? ???????????????????????????????????????????????? ????????????? ??????????????????????????????????
???????????,"- ?????????????? ? 1 ??? (1 ????????? 4 ???)
- ??????? 1/2 ????????
- ??????? 1-2 ???
- ???????????????? 3/4 ??????
- ???????? 1/2 ????????
- ????? 1 ??????
- ??????? 2-1 ?????? (?????????????????)",???? ??????? ?????????? ??????????? ?????????????????????????????????? ???????????????????????????????? ? ????????????????? ?????? ?????????????? ??? ????? ??????????? ???????????????? ???????????????????????????? ????????????????? ?????????????????????????????????????????????????????????????????? ?????????????? ? ?????????????????????????? ???????????? ???????????????
??????????????????,"- ??????? 2 ???
- ??????? 2 ???
- ????? 1 ??
- ???????? 1 ??????
- ??????? 5 ???? (????????)
- ????? 2 ???
- ?????? 3 ??
- ????????? 4 ??
- ??????? 1 ???
- ?????? 5 ???
- ????????? 2 ????????
- ?????????????? 2 ????
- ???????? 1 1/2 ????????
- ?????? 2 ????????
- ???????????????
- ??????? 2 ????
- ??????? 3 ????",?????????????? ? ???????????????? ??????????? ??????? 5 ???? ??????????? ????????????????? ???????????????????????????????? 2 ??? ????????????????????????? ?????????????????? ?????????????????? ?????????????? 1 ??? ?????? ?????????? 1 ??? ?????????????????? ?????????????????????????? ????????????????????? 2 ???? ?????????????????????? 2 ???? ??????????????????????????????????? 2 ???????? ???????????????????????????????????????????????????? ????????????????? ????????? ?????????? ?????? ?????????????????????????????????????????????????????? ????????? ?????? ?????? ?????????? ????????????????????????????? ???????????????????????? ?????????????????????? (?????????) ??????????????? ???????????????????? ?????????????????????? ????????????????????? ?????????????????? ? ??????????????????????????????????? ?????????? ????? ???????
???????,"- ????????????? 2 ???
- ???????? 1 ????????
- ?????? 1/2 ??????
- ??????????? (????????? 4 ???????? ??? 12 ????????)
- ??????????????
- ????????? 1 ???????????
- ?????????? 1 ????????
- ?????? ????? ????? ???????????",???????????? ?????????????????????????????? ?????????? ???????? ???????? ??????????????????? ? ??????? 3 ?????? 7 ??? ?????? ???????????????? ????????????????? ?????????????????? ? ????????? ???????????????????????????????????? ???????? ????????? ????????? (???????????????????????????????????) ?????????? ???????? ??????????????????? ????????????
???????,"- ????? 3 ???
- ?????????? 1/2 ??????
- ???????
- ????????
- ???
- ????????
- ???
- ??????
- ?????????
- ????????
- ????????
- ???????
- ????????
- ??????
- ??????
- ??????????????",?????????????????????????????? 6 ??? ????????????????? ??????? ?????????????????? ???????????????? ??? ???????? ????????? ???????? ??????????????????????????????????????????????????????? ???????????????? ?????????????? ?????????????????????????????? 3 ????????????????????? ???????????????????????????????????? ???????????????????????????????????????????????? ?????????????????? ???????????????????????? ?????????????????????????????????????? ???????????????????????????????? ?????????????? ?????????????????????????? ?????????? ? ?????????????????
?????????????????,"- ????????????? 1 ?????????
- ??????????????? (???????????) 4 ???
- ??????????? 1 ????????
- ???????? 2 ??
- ?????????????????????? 1 ?????????
- ????????? (?????????? 6 ???? ?????????????????????? 1 ?????? ?????? ?????????)
- ?????","??????????? ???????????? ?????????????? ?????????????????????????????? ???????????????? ?????????????????? 4 ??? ??????????? ??????????? ??????????????????????????? ????????? ?????? ???????? ???????????? ??????????????????????????????????????



**????????** ??????????????????????????????? ??????????????? ?????????????????????????????????????????? ???????????????????"
??????????????," - ????????????
- ?????????????????? ???? ?????? ???? ???? ???????? ???????????????????????????????","???????????????????? ??????????????????????????? ??????????????????????? ???????????????? ?????????????????????????????? ???????????? ??????????????????????????????????????? (????????) ??????????????? 2-3 ???? ????? ?????????? ?????????????? ????????????????????????????????????? ????????????????? ???????????????????????? ??????????????



**??????????????????????????????**



1. ??????? ????????????????????????????? ?????????????????? ???????????????????????????? ?????????????? ???????????????????? ???????????????????? ???????????? ????????????????????? ???? ??????????? ?????????????????????????????? ???????????????????????? ???????????????????????? ? ?????????????????????

2. ??????????????? ????????????????????? ???????????????? ???????????????????????????

3. ???????????? ?????????????????????????????????????? ??????????????????????????? ???????????????????????????????????????? ??????????????????

4. ?????????????????????????? 18.30 ?. ??????? 19.00 ?. ?????????????????? ??????????? 6.00 ?. ??? 7.00 ?. ??????????????"
???????????,"- ????????????? 6 ???
- ???????????????? 2 ???????????
- ????????? 2 ????????
- ???????? (??????????????????????????????????????????????????? ??????????? ?????????????????? ??????????????????????????)
- ???????????",????????????????????????????? ?????????????????????? ? ??????????? ????????? ?????????????????? ???????????????????????????????????????? ???????????????????????????????????????
????????????,"- ????????? 4 ???
- ????????? 2 ????????
- ?????? 2 ????????
- ????????
- ?????
- ??????????????????",????????? ???????????????????????????????????????? ??????? 4 ???? ??????????????????????????????? ? ??????????????? ????? ??????????????????????????? 10 ???? ?????????????????????????? ??????????????????????????????
?????????,"- ??????? 1/2 ??????
- ??? 2 ????
- ?????? 1 ???
- ???????? 3 ??
- ??????????????? ???????????? ???????????????????????????????? ???????????????????????????? 1 ?????? ??????????????????????????
- ??????????
- ?????
- ??????
- ?????
- ??????",??????????????? ??????????????? ???????????????????? ? ????????????????????? ? ??? ?????????????? ???????????????????? ?????? ????? ????????????????? ?????????????
